vertex index, timestamp [ns], position x [m], position y [m], position z [m], quaternion x, quaternion y, quaternion z, quaternion w, velocity x [m/s], velocity y [m/s], velocity z [m/s], acc bias x [m/s^2], acc bias y [m/s^2], acc bias z [m/s^2], gyro bias x [rad/s], gyro bias y [rad/s], gyro bias z [rad/s]
450, 1524501403607676506, -0.873858225363257, 0.138066431268619, -0.0979385397761507, -0.11814198020052, 0.720167245024818, -0.681315050184131, 0.0566693400372607, 0.105997421930763, -0.332121298129178, -0.0266346560948775, 0.367035524364643, 0.106117491731946, -0.20585773311356, -0.00538241933766821, 0.00279128519411753, -0.00244960034671045
451, 1524501403740564108, -0.856203270216921, 0.0909178564479297, -0.0989411344403277, -0.117760086071153, 0.720591905587799, -0.680666780652355, 0.059771242635722, 0.169221759300711, -0.351932036639174, 0.00351315153024998, 0.36790983416881, 0.106150773238353, -0.204074953827558, -0.00296672392365695, 0.00163946868813824, -0.0016993168478602
452, 1524501403873451233, -0.83252773284746, 0.041165613426286, -0.0949813321614211, -0.122822977513098, 0.720916736236769, -0.679174611081284, 0.0625733431353118, 0.165777890672936, -0.38532703628007, 0.0569672287479031, 0.368911743578297, 0.106215566421972, -0.202303997935279, -0.00278649969076088, -0.00054598268365086, -0.000896892781265306
453, 1524501404006355047, -0.809962253314402, -0.00756952801074798, -0.0892676905374707, -0.124490633854885, 0.720647431218832, -0.67917447197092, 0.0623810755207797, 0.153216489766869, -0.337611203354068, 0.0420165973091584, 0.369989784463766, 0.10637420532197, -0.200721579262952, 0.000829104854376881, -0.00117735984705178, -0.00156589607681892
454, 1524501404139257193, -0.794991304025133, -0.0526545329293841, -0.0848850769872797, -0.120915674950768, 0.720330205461656, -0.680187356387997, 0.0620399456856407, 0.0898598111505589, -0.320182705816156, 0.00183197113995198, 0.371197431499175, 0.106640665855158, -0.199356573327452, 0.000334008825990933, -7.06041393872607e-05, -0.00407294158371915
455, 1524501404272154093, -0.785499936433197, -0.0947531001019809, -0.085826202465971, -0.11741013064607, 0.722558012861841, -0.678651101906904, 0.0596444561662329, 0.055001999667382, -0.330054637347993, 0.000922544178582592, 0.372550448944393, 0.106845496790492, -0.198196952450134, -0.00478346771270101, 0.00451066635244955, -0.0018525145366169
456, 1524501404404584408, -0.775528736804292, -0.139738450973533, -0.0870475350221178, -0.117874819083344, 0.723090059284218, -0.677989719763684, 0.0598016144027571, 0.0878580535145747, -0.350951983210911, -0.0189079874554566, 0.374064291199978, 0.107057619376199, -0.19724017714252, -0.00611821159481854, 0.00748328110258848, -0.000217095159162337
457, 1524501404537479401, -0.764176522285205, -0.188345096292005, -0.0907437388331812, -0.121353830522263, 0.720736315225465, -0.679514595275855, 0.0638147830826309, 0.0801877003457575, -0.392918871130194, -0.0373604911084023, 0.375631343487231, 0.107280513009387, -0.196440078891433, -0.00545388767804498, 0.00805339190082439, -0.00127936960971248
458, 1524501404670356989, -0.754115944845654, -0.244280468401536, -0.0951712786382222, -0.127586027202459, 0.718488178432389, -0.680113501384825, 0.0703005572501004, 0.0792769042940693, -0.441748257669714, -0.0191688276548714, 0.377228348255652, 0.107481962531776, -0.195843129696581, -0.00211357353343654, 0.00830935397439237, -0.00140669690917844
459, 1524501404803266287, -0.742045258962559, -0.305660924165387, -0.0962601639603205, -0.139849546387495, 0.718796732779476, -0.676343947880779, 0.0795752818770058, 0.115581690226551, -0.457028039612874, 0.00777492747949307, 0.378861884167752, 0.107745525492499, -0.19557355253038, 0.00113620669755262, 0.00827710339196409, -0.00567840430659359
460, 1524501404936182022, -0.72669062476414, -0.368561356021377, -0.0903284451543131, -0.156965211615982, 0.713502937506396, -0.676250991320263, 0.094657684582161, 0.136847184388343, -0.469551276157432, 0.0280545233245823, 0.380528887718001, 0.108011171511725, -0.195532065731788, -0.00416036181895171, 0.00279736246866761, -0.0102519930025951
461, 1524501405069095135, -0.707189980033453, -0.425656928121746, -0.0859111725942035, -0.179947450016176, 0.705758600238866, -0.676831402425366, 0.106878277084092, 0.143354141287258, -0.405117358971774, 0.0364033937298788, 0.382326073219812, 0.108207949186809, -0.195594094599891, -0.00681855872047511, 0.000949975063589016, -0.0109725431116007
462, 1524501405202022552, -0.685975082000552, -0.472366634687332, -0.0834212505854568, -0.194148988203073, 0.702162200778087, -0.673964500699876, 0.122663221768233, 0.19533044962946, -0.291109032288135, -0.00684469016601858, 0.384019850032184, 0.108591399705554, -0.195826401283606, -0.00425010618651478, 0.002047008443464, -0.0137259120639346
463, 1524501405334917784, -0.658166499649935, -0.509504738715798, -0.0855194277085739, -0.209028256525465, 0.699282721612127, -0.66844927043189, 0.143130835558712, 0.224660766730099, -0.251596128740418, -0.0299026079024952, 0.38565575670082, 0.109084875304783, -0.1961106766758, -0.00281397148757179, -0.00126399631140234, -0.0130242238817449
464, 1524501405467844725, -0.625576488514442, -0.540457875421262, -0.0931018371802197, -0.223547977368012, 0.697675563081884, -0.660870091152237, 0.162867532410489, 0.250651054641325, -0.219479897159379, -0.0562202405587807, 0.387325876697097, 0.109662824783825, -0.196549393060494, -0.00253310800155252, -0.00317896685291095, -0.00754284670742362
465, 1524501405600766659, -0.590675893631863, -0.56989284068505, -0.0999154698295817, -0.233029974681207, 0.694759199441894, -0.656391084900624, 0.179324926750066, 0.281823162199996, -0.223288630402651, -0.0493780039083464, 0.388962137691012, 0.11020116776196, -0.197289344985605, -0.00503128544029529, -0.00104742626582919, -0.00472557059337388
466, 1524501405733712196, -0.548886163766416, -0.598138272554195, -0.104223773794695, -0.245069435884771, 0.691589358821547, -0.652128694117888, 0.190717845698875, 0.337435594092266, -0.199853916378399, 0.00772091760742771, 0.39037420128355, 0.110698459236075, -0.19843530810875, -0.00754746062018804, 0.000316351635891426, -0.0039168707159892
467, 1524501405866632938, -0.501759392061448, -0.624339313126007, -0.0990582842054767, -0.261300858054638, 0.683928013776395, -0.650665247154617, 0.201492108274758, 0.351977742537417, -0.206301343987445, 0.0641285932479203, 0.391563270435568, 0.111240363815536, -0.199993406453205, -0.00628165527567514, -0.00101615918133989, -0.00483078341289863
468, 1524501405999539852, -0.455846963454072, -0.649149131001046, -0.0941713427320812, -0.271009874965532, 0.678505217492042, -0.649279032723956, 0.211236964502638, 0.339072289836633, -0.154073698791188, 0.01542629549655, 0.392475147097188, 0.111980703539788, -0.201975106867988, -0.00546109037747871, 0.00228444723435283, -0.00645563252902972
469, 1524501406132447481, -0.411659620109801, -0.665560333185853, -0.0918309439005219, -0.28233178380695, 0.673773920120856, -0.644504247752732, 0.225680621777869, 0.321783590467311, -0.0805126049796443, 0.0213023955105821, 0.393125452464442, 0.112667115323042, -0.204186689908742, -0.00670920601622672, 0.00580251724607064, -0.00721150493228286
470, 1524501406265366077, -0.369445380564806, -0.675512354596623, -0.0905272070657231, -0.29977547474613, 0.66727358702614, -0.637307287220187, 0.242322195545614, 0.308878416220374, -0.0689761692437707, 0.0181124085881781, 0.393700402521087, 0.113238351735932, -0.206459777404897, -0.0054033444022095, 0.00575223335959824, -0.00689948804320387
471, 1524501406398277044, -0.326739032579129, -0.684355107928678, -0.0892334717469447, -0.316478251395102, 0.659207323775778, -0.628505238645556, 0.265081847113998, 0.338914588465891, -0.0464164762293509, -0.0159542414859268, 0.394352922121166, 0.113797608972534, -0.208698704373856, -0.0066596852894834, 0.00655412289785393, -0.00775635665763948
472, 1524501406530199528, -0.281676106130436, -0.691762761460486, -0.0916762122369861, -0.337976444981702, 0.647852604878416, -0.617866996110436, 0.290343417537315, 0.336753796569913, -0.0596417139893615, -0.0147769648420711, 0.395069759163345, 0.114249034592676, -0.210873843097924, -0.00568736905899274, 0.00676659035128114, -0.00914861321034009
473, 1524501406663107395, -0.235657429389871, -0.704014358668294, -0.0933167589063224, -0.362695707485832, 0.632214432750903, -0.606758400297721, 0.31717657300147, 0.350607929462813, -0.11914628934567, 0.000203648513540124, 0.395892238605967, 0.114678504361266, -0.213123717405552, -0.00422389264025732, 0.00651333894532239, -0.00800131380575592
474, 1524501406796012878, -0.188685197375411, -0.7174095586969, -0.0941196564209869, -0.394169970560814, 0.612860590921757, -0.594224400606953, 0.34048390876285, 0.352023920386689, -0.0944516826590585, 0.00925855702335695, 0.396648852610736, 0.115006272649392, -0.215449193609601, -0.00343947255836496, 0.00809317492597549, -0.0103593880552801
